Refs,Value,Footprint,Quantity,MFR,MPN,SPR,SPN
SW1,SW_SPDT,Button_Switch_THT:SW_Slide_1P2T_CK_OS102011MS2Q,1,C&K,OS102011MS2QN1C ,Mouser,611-OS102011MS2QN1C 
C8;C9,1000u 25v,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,2,Panasonic,EEU-FP1E102B,Mouser,667-EEU-FP1E102B 
C6,2200u 25v,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,1,Nichicon,UHW1E222MHD1TO ,Mouser,647-UHW1E222MHD1TO 
C5,100u 25v,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,1,Panasonic,ECA-1EM101B ,Mouser,667-ECA-1EM101B 
C7,100n 25v,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,1,Vishay / BC Components,K104K15X7RF5TH5 ,Mouser,594-K104K15X7RF5TH5 
C3;C4;C2;C1,1u 25v,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,4,TDK,FG18X7R1E105KRT00 ,Mouser,810-FG18X7R1E105KRT0 
J1;J2;J3,AudioJack4,Connector_Audio:Jack_3.5mm_PJ320E_Horizontal,3,WQP,PJ320E,AliExpress,https://nl.aliexpress.com/item/1711810776.html
U1,TDA1517,KiLib:SOT110-1,1,NXP/PHILIPS,TDA1517,AliExpress/Si-Tai&SH,"https://nl.aliexpress.com/item/32970631051.html?spm=a2g0o.productlist.0.0.b32c2a7chJHszJ&algo_pvid=3b9d9c3a-b2ff-4481-92e5-2318cac86670&algo_expid=3b9d9c3a-b2ff-4481-92e5-2318cac86670-0&btsid=5ff8154c-3bd9-49de-8f45-c31e84d41116&ws_ab_test=searchweb0_0,searchweb201602_7,searchweb201603_52"
D1,LED,LED_THT:LED_D3.0mm,1,"Cree, Inc.",C4SMM-RJF-CS24QBB2,Mouser,941-C4SMM-RJF-CS24QBB2
H1,Pad+,MountingHole:MountingHole_2.7mm_Pad,1,-,-,-,-
H2,Pad-,MountingHole:MountingHole_2.7mm_Pad,1,-,-,-,-
R7,1.5k,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,Vishay / Dale,CCF071K50GKE36 ,Mouser,71-CCF071K50GKE36 
R3;R4;R1;R2,10k,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,4,Yageo,CFR25SJT-52-10K ,Mouser,603-CFR25SJT-52-10K 
